Сделай теперь с этими данными:

coordinates_num       non_parallel_time      parallel_time
430000000	5.08988	1.31343
435000000	5.14914	1.32127
440000000	5.20807	1.34336
445000000	5.26931	1.35948
450000000	5.32786	1.36713
455000000	5.38906	1.39111
460000000	5.44977	1.39384
465000000	5.51371	1.41265
470000000	5.56871	1.42384
475000000	5.63565	1.44131
480000000	5.68988	1.46505
485000000	5.74687	1.47762
490000000	5.8081	1.49441
495000000	5.87024	1.50112
500000000	5.92733	1.52307
